slim
  100, 0.61, 1648
  200, 0.56, 1972
  300, 0.72, 2320
  400, 0.96, 2460
  500, 1.34, 2620
  600, 1.83, 2904
  700, 2.35, 3048
  800, 2.99, 3520
  900, 3.65, 3892
  1000, 4.58, 4156
  1100, 5.69, 4072
  1200, 6.57, 4184
  1300, 8.56, 4684
  1400, 9.89, 4532
  1500, 11.10, 5284
  1600, 12.87, 5280
  1700, 15.92, 5912
  1800, 17.59, 6372
  1900, 19.19, 6164
  2000, 21.91, 6736
  2100, 24.54, 6360
  2200, 26.54, 6692
  2300, 27.55, 5972
  2400, 29.11, 6420
Command terminated by signal 2
  2500, 22.90, 1164
